Chemical	Day	Hour	Reading
Chlorodinine	19	21	0.840680778
AGOC-3A	18	13	0.840670444
Methylosmolene	28	8	0.840266111
Appluimonia	7	14	0.839999222
AGOC-3A	18	1	0.839909111
Methylosmolene	5	2	0.839857622
AGOC-3A	16	10	0.839857333
Chlorodinine	28	23	0.839789156
AGOC-3A	31	3	0.839404222
Chlorodinine	29	8	0.839040111
Chlorodinine	12	19	0.838934956
AGOC-3A	30	10	0.8388692
Appluimonia	8	2	0.838243667
Chlorodinine	12	0	0.838104889
Appluimonia	23	14	0.837943222
Chlorodinine	19	11	0.837819978
Methylosmolene	28	15	0.83778
Methylosmolene	23	11	0.837676875
Appluimonia	31	1	0.837454233
AGOC-3A	20	22	0.837437444
Methylosmolene	1	9	0.837206933
AGOC-3A	13	0	0.836979411
Appluimonia	16	8	0.836653856
Methylosmolene	28	7	0.836590014
AGOC-3A	23	4	0.836549322
Chlorodinine	27	15	0.8364857
Chlorodinine	25	0	0.836469567
Chlorodinine	10	7	0.836307444
AGOC-3A	5	0	0.836009889
Methylosmolene	14	16	0.835895856
Chlorodinine	28	18	0.835844311
AGOC-3A	31	8	0.835709244
Methylosmolene	23	0	0.83556
Chlorodinine	19	12	0.835500667
Methylosmolene	15	16	0.835329111
AGOC-3A	3	22	0.834863811
Chlorodinine	26	12	0.834677989
Appluimonia	3	21	0.834550489
AGOC-3A	6	23	0.834504089
Appluimonia	9	12	0.834467
Methylosmolene	15	8	0.834137625
Appluimonia	28	10	0.833896611
Appluimonia	16	11	0.833540667
Methylosmolene	17	14	0.833336869
Chlorodinine	9	10	0.833271778
Appluimonia	20	1	0.833174367
Methylosmolene	4	23	0.832437222
Methylosmolene	20	2	0.832219522
Chlorodinine	24	6	0.832125222
Appluimonia	30	9	0.831809633
AGOC-3A	10	3	0.83177808
Methylosmolene	18	13	0.831623122
Methylosmolene	14	10	0.831159922
Chlorodinine	5	15	0.831153244
Chlorodinine	28	2	0.830875033
Appluimonia	14	8	0.830827567
Chlorodinine	13	17	0.830303
Chlorodinine	2	8	0.829928411
Appluimonia	31	14	0.829728889
Methylosmolene	12	17	0.829520111
Appluimonia	20	23	0.829423644
Methylosmolene	10	23	0.829412911
Appluimonia	19	12	0.829397444
Chlorodinine	22	10	0.829335567
AGOC-3A	31	22	0.829333333
Methylosmolene	9	23	0.829077111
Methylosmolene	16	14	0.828049989
AGOC-3A	27	19	0.828039589
AGOC-3A	8	18	0.827479944
AGOC-3A	16	11	0.827248221
AGOC-3A	16	15	0.827127733
Appluimonia	25	22	0.827099556
Chlorodinine	1	23	0.826788542
Methylosmolene	16	1	0.826741189
Methylosmolene	8	21	0.8266083
Appluimonia	26	2	0.825908556
Chlorodinine	3	21	0.825800667
Methylosmolene	21	12	0.825676667
Chlorodinine	26	3	0.825662978
Chlorodinine	19	13	0.825445111
Appluimonia	22	17	0.825349927
Methylosmolene	14	2	0.825296111
Chlorodinine	29	1	0.824979556
Methylosmolene	17	13	0.824845111
AGOC-3A	7	1	0.824595778
Appluimonia	24	22	0.824582
Appluimonia	26	8	0.824543478
Chlorodinine	21	0	0.823997111
Appluimonia	14	15	0.82378722
Methylosmolene	28	18	0.823681889
Appluimonia	31	4	0.823385111
AGOC-3A	31	20	0.823267667
Methylosmolene	14	13	0.823249312
Chlorodinine	31	7	0.823045333
Chlorodinine	7	15	0.823017489
Methylosmolene	14	5	0.822890367
Appluimonia	11	0	0.822886
AGOC-3A	2	15	0.822800556
Appluimonia	28	4	0.822683778
Chlorodinine	26	20	0.822646778
Appluimonia	31	3	0.822278667
Methylosmolene	28	1	0.821927344
Chlorodinine	4	13	0.821572289
Chlorodinine	14	21	0.8213683
Chlorodinine	27	12	0.821312522
Chlorodinine	9	1	0.821046333
Methylosmolene	13	10	0.821041789
AGOC-3A	15	21	0.820998778
Chlorodinine	18	12	0.8208157
Methylosmolene	2	14	0.820716667
AGOC-3A	6	1	0.820436444
AGOC-3A	5	2	0.820384733
Appluimonia	23	1	0.820312044
Methylosmolene	17	2	0.820099378
Chlorodinine	28	21	0.819324222
Chlorodinine	5	18	0.819142778
Chlorodinine	24	14	0.818986333
Methylosmolene	25	3	0.818958356
Appluimonia	25	19	0.818423333
AGOC-3A	26	15	0.818235674
Appluimonia	18	22	0.817766922
Chlorodinine	12	15	0.8176014
Chlorodinine	3	6	0.817572556
Methylosmolene	22	8	0.817553
Methylosmolene	15	18	0.817506678
Methylosmolene	22	16	0.816804111
Appluimonia	9	2	0.816489889
Methylosmolene	3	16	0.816432111
AGOC-3A	18	21	0.815885578
Chlorodinine	14	12	0.815756444
Appluimonia	17	12	0.815713889
Methylosmolene	19	12	0.815050289
Methylosmolene	9	14	0.814801889
AGOC-3A	15	1	0.814748556
Appluimonia	17	8	0.814657667
Methylosmolene	9	22	0.814649667
Appluimonia	6	1	0.814608778
AGOC-3A	15	19	0.814570033
Chlorodinine	16	1	0.814397117
Appluimonia	23	20	0.814358556
Methylosmolene	26	1	0.814075478
AGOC-3A	25	21	0.813823111
Methylosmolene	15	15	0.812730233
Methylosmolene	10	6	0.812494222
Chlorodinine	19	0	0.812456778
Appluimonia	14	17	0.812370367
Appluimonia	13	20	0.812180778
Methylosmolene	30	6	0.811815044
AGOC-3A	4	12	0.811742
Appluimonia	5	7	0.811698111
Chlorodinine	10	23	0.81164
Appluimonia	29	7	0.811463
Chlorodinine	28	14	0.811245478
AGOC-3A	12	17	0.811153644
Methylosmolene	31	17	0.811039889
Methylosmolene	24	3	0.810710033
Methylosmolene	15	12	0.810188489
AGOC-3A	8	3	0.809781022
AGOC-3A	27	20	0.809658778
Appluimonia	30	8	0.809629889
Appluimonia	27	2	0.809619889
AGOC-3A	18	3	0.809474156
Methylosmolene	2	12	0.80941325
Methylosmolene	24	1	0.809000464
Methylosmolene	11	10	0.80885225
Methylosmolene	27	15	0.808584889
Chlorodinine	31	4	0.808430333
Chlorodinine	5	13	0.808310878
Appluimonia	1	8	0.808176889
AGOC-3A	21	21	0.808154753
Chlorodinine	22	1	0.808143111
Methylosmolene	13	21	0.808079656
Chlorodinine	13	4	0.807887889
AGOC-3A	7	8	0.807546367
Appluimonia	6	9	0.807495
Methylosmolene	5	1	0.806972667
AGOC-3A	8	20	0.806359133
Methylosmolene	26	17	0.806202879
Methylosmolene	7	12	0.806140333
Appluimonia	26	5	0.805808111
Methylosmolene	3	6	0.805478833
AGOC-3A	16	22	0.805321667
Chlorodinine	24	17	0.804999444
Appluimonia	1	0	0.804967911
Methylosmolene	18	4	0.804729889
Chlorodinine	16	0	0.804718889
AGOC-3A	16	17	0.804677111
Appluimonia	27	16	0.804642444
Appluimonia	12	7	0.804425567
Appluimonia	16	23	0.804413333
AGOC-3A	19	7	0.8044038
Chlorodinine	3	15	0.804360389
Methylosmolene	13	5	0.804272333
Methylosmolene	10	7	0.804192333
Appluimonia	12	21	0.804054889
AGOC-3A	3	14	0.804021333
Chlorodinine	7	6	0.803833222
AGOC-3A	9	18	0.803506811
Appluimonia	5	17	0.803465444
Chlorodinine	26	14	0.803261444
Appluimonia	8	20	0.803029111
AGOC-3A	27	17	0.802844889
Appluimonia	29	13	0.802831444
Appluimonia	26	23	0.802807011
Chlorodinine	8	18	0.802551067
AGOC-3A	17	17	0.802529078
Methylosmolene	19	14	0.802015222
AGOC-3A	8	0	0.801568733
AGOC-3A	16	4	0.801535486
Chlorodinine	27	21	0.801475778
Methylosmolene	15	22	0.801151067
Chlorodinine	16	19	0.800414896
Methylosmolene	18	19	0.800383811
Appluimonia	25	20	0.800188922
Appluimonia	3	7	0.800112667
Methylosmolene	17	21	0.800007578
AGOC-3A	31	10	0.799852556
AGOC-3A	3	2	0.799723333
Chlorodinine	29	12	0.799564122
Appluimonia	27	3	0.798629778
Methylosmolene	21	17	0.798187336
Methylosmolene	9	3	0.7981125
Methylosmolene	21	2	0.798102111
Methylosmolene	7	11	0.798020078
Methylosmolene	6	16	0.797951222
AGOC-3A	12	23	0.797773778
Appluimonia	19	23	0.79751
Chlorodinine	25	23	0.797318733
Methylosmolene	14	14	0.797238889
Appluimonia	25	10	0.796997889
Chlorodinine	11	14	0.796504622
AGOC-3A	3	12	0.796416844
AGOC-3A	23	23	0.796170333
Appluimonia	2	20	0.795855067
AGOC-3A	10	9	0.795679944
Methylosmolene	7	5	0.795432833
Methylosmolene	17	3	0.795306844
Chlorodinine	18	14	0.795203267
Chlorodinine	8	12	0.794618444
AGOC-3A	23	2	0.794575944
Appluimonia	28	0	0.794396367
AGOC-3A	22	18	0.794378933
Chlorodinine	24	16	0.794065556
Methylosmolene	24	21	0.794024233
AGOC-3A	8	8	0.793886356
AGOC-3A	15	15	0.793862289
Appluimonia	9	11	0.793114111
AGOC-3A	13	13	0.793079556
Chlorodinine	26	19	0.793040589
Chlorodinine	11	4	0.792837778
Methylosmolene	10	9	0.792771878
AGOC-3A	26	4	0.792512044
AGOC-3A	4	23	0.792472
AGOC-3A	27	22	0.7919252
AGOC-3A	13	18	0.7909946
AGOC-3A	14	15	0.790568922
Appluimonia	16	3	0.790347889
AGOC-3A	24	20	0.78982149
Appluimonia	12	16	0.789742667
AGOC-3A	25	6	0.789519889
AGOC-3A	19	11	0.789450556
Chlorodinine	3	2	0.7893713
Appluimonia	28	12	0.789258878
Methylosmolene	30	21	0.789208301
Appluimonia	14	18	0.7891689
AGOC-3A	12	13	0.789098211
AGOC-3A	5	1	0.789086233
Appluimonia	30	13	0.789010082
Methylosmolene	9	2	0.788981289
Methylosmolene	31	19	0.788945444
Methylosmolene	17	6	0.788675889
Methylosmolene	2	7	0.788542778
Appluimonia	15	7	0.7885054
Chlorodinine	6	7	0.788472656
Methylosmolene	20	18	0.788422
Chlorodinine	18	15	0.788355556
Appluimonia	14	20	0.788287222
Appluimonia	15	22	0.788194
Appluimonia	7	3	0.787982667
Appluimonia	28	1	0.787790589
Chlorodinine	14	17	0.787748889
Appluimonia	11	15	0.787735189
AGOC-3A	17	0	0.787648889
Methylosmolene	25	14	0.787425
AGOC-3A	11	23	0.787285767
Chlorodinine	2	9	0.787133967
AGOC-3A	5	9	0.787062791
Appluimonia	15	12	0.787048333
AGOC-3A	7	3	0.786972
AGOC-3A	25	12	0.786903556
Appluimonia	27	18	0.786673833
AGOC-3A	6	19	0.786535411
Appluimonia	20	7	0.786303656
AGOC-3A	3	10	0.785790311
Chlorodinine	10	22	0.785537989
Methylosmolene	26	22	0.785233
Appluimonia	19	3	0.785178767
Chlorodinine	14	19	0.784553056
Appluimonia	5	11	0.784310889
Appluimonia	7	20	0.784155222
Appluimonia	9	4	0.783914444
Methylosmolene	7	16	0.783463756
Methylosmolene	8	16	0.783146425
Methylosmolene	13	7	0.783080444
Chlorodinine	2	5	0.782985651
AGOC-3A	11	14	0.782669444
Chlorodinine	31	17	0.782569
Appluimonia	10	8	0.782173933
Chlorodinine	23	13	0.781956122
Chlorodinine	5	10	0.781687611
Chlorodinine	6	9	0.781587233
Chlorodinine	21	23	0.7813543
Methylosmolene	11	1	0.780652822
AGOC-3A	14	23	0.780529144
Appluimonia	27	21	0.780352889
Chlorodinine	16	23	0.780305456
AGOC-3A	11	1	0.780236224
AGOC-3A	1	4	0.780189
Chlorodinine	16	17	0.77990868
Appluimonia	30	18	0.779831622
Appluimonia	16	0	0.779698144
AGOC-3A	28	19	0.779570322
Methylosmolene	22	13	0.779503078
Chlorodinine	30	2	0.778703589
Chlorodinine	12	6	0.778391
AGOC-3A	3	9	0.778070022
AGOC-3A	9	3	0.777248633
Methylosmolene	21	15	0.777232044
Chlorodinine	23	19	0.777221778
Appluimonia	14	16	0.777153544
AGOC-3A	9	13	0.777064333
Chlorodinine	7	2	0.776852333
Appluimonia	4	17	0.776686511
Methylosmolene	31	7	0.776678556
Methylosmolene	2	16	0.776662644
AGOC-3A	17	1	0.776655656
Appluimonia	16	4	0.776652811
Chlorodinine	18	18	0.776595844
Methylosmolene	26	18	0.776552222
AGOC-3A	5	22	0.775899189
Methylosmolene	9	10	0.775787211
AGOC-3A	26	16	0.775617689
Chlorodinine	11	11	0.775536111
Methylosmolene	27	5	0.775464
Chlorodinine	15	4	0.775453133
Methylosmolene	27	14	0.7753531
Chlorodinine	8	21	0.7753062
Appluimonia	13	11	0.775300778
Appluimonia	26	3	0.775194033
Appluimonia	21	19	0.775168444
Appluimonia	24	10	0.774863778
AGOC-3A	6	0	0.774846522
Appluimonia	8	10	0.774805922
Methylosmolene	29	19	0.774763711
Appluimonia	25	16	0.774622
Appluimonia	31	0	0.774496778
Appluimonia	31	9	0.774272822
Methylosmolene	10	2	0.774109444
AGOC-3A	23	13	0.773988222
AGOC-3A	10	22	0.773811222
Methylosmolene	23	5	0.7736798
Chlorodinine	2	21	0.773381989
Appluimonia	20	17	0.772894111
Chlorodinine	18	16	0.772729556
Appluimonia	7	21	0.772725667
Chlorodinine	11	10	0.772429111
AGOC-3A	27	23	0.772387333
AGOC-3A	1	19	0.771915444
Appluimonia	24	2	0.771628778
Chlorodinine	13	1	0.771599533
Appluimonia	5	13	0.771533602
Methylosmolene	21	22	0.7708489
Chlorodinine	27	2	0.770602511
Appluimonia	13	1	0.770444356
AGOC-3A	19	13	0.770384233
Chlorodinine	13	20	0.770141111
Chlorodinine	5	16	0.769835767
Methylosmolene	3	0	0.769617444
Appluimonia	13	15	0.769563444
Appluimonia	4	18	0.769270222
Appluimonia	20	3	0.769251978
Chlorodinine	2	12	0.769137578
Appluimonia	19	9	0.769045556
Appluimonia	13	16	0.768657667
Appluimonia	1	4	0.768584556
Methylosmolene	24	2	0.768489911
Methylosmolene	4	9	0.768446222
Appluimonia	5	15	0.768431444
AGOC-3A	4	17	0.768412556
Methylosmolene	8	4	0.768394778
Appluimonia	18	17	0.768227411
Appluimonia	16	20	0.768103222
Appluimonia	13	2	0.767538144
Methylosmolene	23	19	0.767446033
AGOC-3A	4	18	0.767212
Chlorodinine	24	18	0.766926
Methylosmolene	19	22	0.7668455
Methylosmolene	23	18	0.7668026
Appluimonia	13	18	0.766338444
Methylosmolene	8	2	0.766279444
Methylosmolene	1	4	0.766233711
Chlorodinine	7	3	0.766047849
AGOC-3A	14	2	0.7656501
Methylosmolene	4	14	0.765610667
Appluimonia	3	12	0.765336478
AGOC-3A	24	15	0.765297
Chlorodinine	8	9	0.764967
AGOC-3A	2	11	0.764772078
Chlorodinine	11	16	0.764611167
Chlorodinine	11	3	0.764433778
Appluimonia	21	4	0.764313867
Chlorodinine	3	13	0.764218556
AGOC-3A	2	7	0.764133444
Chlorodinine	9	16	0.763957211
Appluimonia	10	3	0.763875778
Methylosmolene	19	4	0.763867557
Methylosmolene	25	23	0.763732702
AGOC-3A	7	4	0.763504667
Methylosmolene	15	13	0.7632955
Methylosmolene	3	14	0.763155
Chlorodinine	13	12	0.762833267
AGOC-3A	21	18	0.762803111
Appluimonia	25	12	0.762620444
Appluimonia	31	15	0.762584533
Appluimonia	21	12	0.762138778
Appluimonia	22	22	0.761819311
Chlorodinine	10	18	0.761529111
AGOC-3A	10	12	0.761387622
Appluimonia	27	22	0.761169344
AGOC-3A	29	20	0.760950911
Chlorodinine	27	1	0.760776989
AGOC-3A	25	19	0.760624189
AGOC-3A	29	14	0.760308
Chlorodinine	28	8	0.7601943
Appluimonia	14	10	0.759249067
AGOC-3A	11	4	0.759163633
Chlorodinine	31	10	0.758863833
Appluimonia	31	21	0.758862489
Chlorodinine	12	5	0.758606211
Chlorodinine	1	18	0.758537589
AGOC-3A	21	7	0.7581905
Methylosmolene	4	3	0.758130556
Appluimonia	7	8	0.757838153
Chlorodinine	8	16	0.757730156
Methylosmolene	11	18	0.757504
Appluimonia	3	8	0.757379856
Appluimonia	2	17	0.757208
Chlorodinine	22	0	0.756506167
Chlorodinine	24	21	0.756189044
AGOC-3A	21	11	0.755976556
Methylosmolene	9	19	0.755713733
Appluimonia	8	0	0.755658622
AGOC-3A	10	14	0.755606778
AGOC-3A	27	8	0.7551188
Methylosmolene	11	4	0.755112311
AGOC-3A	16	1	0.755006444
Methylosmolene	28	21	0.755003322
Appluimonia	5	23	0.754648751
Appluimonia	20	19	0.753956833
AGOC-3A	22	21	0.753832948
AGOC-3A	21	16	0.753809222
Appluimonia	8	12	0.753663
Methylosmolene	10	12	0.753249856
AGOC-3A	22	14	0.7532116
Appluimonia	21	3	0.753174889
Methylosmolene	1	11	0.753039733
AGOC-3A	4	16	0.752978222
Methylosmolene	30	17	0.752931
Appluimonia	21	17	0.752684667
Appluimonia	1	9	0.752449333
Methylosmolene	15	19	0.752296111
Appluimonia	6	23	0.752025822
Appluimonia	2	12	0.751614444
Appluimonia	12	0	0.751565889
Appluimonia	8	9	0.751538378
AGOC-3A	7	17	0.751203744
Methylosmolene	17	12	0.751194744
Methylosmolene	10	0	0.751070778
Methylosmolene	20	10	0.750994389
Methylosmolene	27	6	0.750938111
Appluimonia	19	1	0.750922944
Methylosmolene	19	13	0.750879589
Methylosmolene	2	1	0.750667667
Chlorodinine	25	20	0.750221111
Methylosmolene	13	13	0.750162233
Chlorodinine	12	20	0.750142
AGOC-3A	27	10	0.750066233
Methylosmolene	12	8	0.749708022
AGOC-3A	26	6	0.749480789
AGOC-3A	1	16	0.749381633
Chlorodinine	7	16	0.748992111
Appluimonia	26	6	0.748957111
Appluimonia	22	3	0.748873044
Chlorodinine	10	15	0.748656778
Appluimonia	3	0	0.748625333
AGOC-3A	30	0	0.748577683
AGOC-3A	31	12	0.748068889
Appluimonia	21	11	0.748004744
Appluimonia	5	0	0.748004222
Methylosmolene	28	2	0.747786022
AGOC-3A	24	8	0.747279956
Appluimonia	20	12	0.747248211
Chlorodinine	6	0	0.747159033
Chlorodinine	29	0	0.747007667
AGOC-3A	29	19	0.746950111
AGOC-3A	9	20	0.7469359
Chlorodinine	11	20	0.746704544
Appluimonia	14	2	0.746641
Appluimonia	21	1	0.7466146
Chlorodinine	16	14	0.746379756
AGOC-3A	29	2	0.746065
Methylosmolene	13	16	0.746054375
Chlorodinine	5	22	0.746023889
Appluimonia	16	12	0.745695178
Appluimonia	10	19	0.745592933
Chlorodinine	7	18	0.745563444
Chlorodinine	8	3	0.745336444
Appluimonia	12	6	0.745334314
Methylosmolene	22	2	0.745238744
AGOC-3A	20	13	0.74503676
Chlorodinine	11	7	0.745013556
Methylosmolene	13	1	0.744876011
Chlorodinine	25	8	0.744405778
Chlorodinine	13	11	0.744303989
Appluimonia	17	7	0.744239222
Chlorodinine	23	2	0.743888
Chlorodinine	13	18	0.743836578
AGOC-3A	25	17	0.743392122
Methylosmolene	20	20	0.743248667
Appluimonia	22	16	0.742968889
Methylosmolene	16	6	0.742612022
Chlorodinine	6	3	0.742116889
Chlorodinine	31	9	0.741999667
AGOC-3A	9	22	0.741812867
AGOC-3A	20	5	0.741766378
Chlorodinine	12	16	0.741700967
Appluimonia	8	5	0.741653778
Methylosmolene	14	15	0.741626778
Methylosmolene	5	8	0.741589467
AGOC-3A	3	21	0.741456656
AGOC-3A	28	13	0.741334056
Chlorodinine	31	23	0.741063
Methylosmolene	29	9	0.740976511
AGOC-3A	31	19	0.740810333
Appluimonia	3	6	0.740401889
Appluimonia	22	0	0.740147922
Chlorodinine	18	2	0.740063894
Appluimonia	10	4	0.740001
Methylosmolene	17	20	0.739971778
Appluimonia	30	10	0.739872111
Appluimonia	24	4	0.739805778
Chlorodinine	21	15	0.739581722
Appluimonia	4	6	0.738877111
Appluimonia	1	23	0.738857344
Chlorodinine	12	13	0.7385257
Methylosmolene	30	0	0.738406556
Appluimonia	24	1	0.738259457
Methylosmolene	4	20	0.738215344
AGOC-3A	26	0	0.738158033
Appluimonia	21	21	0.737946289
AGOC-3A	5	7	0.737917278
AGOC-3A	9	19	0.737765778
AGOC-3A	27	14	0.737714122
Methylosmolene	4	16	0.737286556
AGOC-3A	12	14	0.737076822
AGOC-3A	17	13	0.737074
Chlorodinine	29	13	0.737011878
Chlorodinine	9	14	0.7366409
Methylosmolene	21	6	0.736549387
Appluimonia	2	19	0.736424578
Chlorodinine	11	6	0.7362923
Chlorodinine	15	1	0.736068667
Appluimonia	13	6	0.735949789
Appluimonia	21	5	0.735862944
AGOC-3A	29	3	0.735784403
Methylosmolene	7	8	0.735394556
AGOC-3A	3	15	0.735188667
Chlorodinine	3	1	0.734635922
Appluimonia	21	18	0.734400667
Appluimonia	10	7	0.734224844
Methylosmolene	16	0	0.734069333
Chlorodinine	1	17	0.733991444
Chlorodinine	2	16	0.733953111
Methylosmolene	21	8	0.733851089
Chlorodinine	24	11	0.733705789
Appluimonia	23	5	0.733702844
Appluimonia	27	6	0.733444867
Chlorodinine	6	10	0.733281667
Methylosmolene	20	11	0.733218333
AGOC-3A	26	22	0.733133667
Chlorodinine	18	0	0.733122778
Chlorodinine	8	5	0.733105667
Appluimonia	18	2	0.732913844
Chlorodinine	20	22	0.732808056
Methylosmolene	21	0	0.732701889
Chlorodinine	17	0	0.732658133
Appluimonia	3	19	0.7324677
Chlorodinine	31	1	0.732206089
Appluimonia	5	14	0.732023888
AGOC-3A	15	9	0.731949
Methylosmolene	28	0	0.731480889
Methylosmolene	10	17	0.731431908
Methylosmolene	29	17	0.730967667
Appluimonia	13	9	0.730957367
Methylosmolene	27	4	0.730644667
Appluimonia	12	20	0.730640667
Chlorodinine	12	18	0.730463024
AGOC-3A	10	17	0.730366742
Chlorodinine	13	21	0.730238756
AGOC-3A	20	6	0.730225656
Chlorodinine	24	13	0.730060058
Methylosmolene	18	16	0.729964167
Chlorodinine	10	17	0.729957956
Chlorodinine	20	21	0.729931
Methylosmolene	19	20	0.729845222
Appluimonia	3	2	0.729821222
Methylosmolene	1	13	0.729814144
Chlorodinine	21	21	0.729740867
Chlorodinine	2	1	0.729675889
Methylosmolene	13	19	0.729538822
Chlorodinine	21	12	0.728531889
Chlorodinine	6	11	0.728392
Chlorodinine	24	7	0.728335889
Chlorodinine	11	19	0.728250556
Appluimonia	13	12	0.728079111
Methylosmolene	24	4	0.728006667
AGOC-3A	29	22	0.727670156
Appluimonia	24	20	0.727426078
Chlorodinine	9	20	0.727373889
Chlorodinine	15	6	0.727216111
Appluimonia	28	19	0.726898333
AGOC-3A	11	17	0.726882444
Methylosmolene	17	7	0.726690556
Methylosmolene	30	11	0.726629111
Chlorodinine	11	2	0.726591876
Methylosmolene	19	5	0.726576956
AGOC-3A	28	23	0.7265036
Appluimonia	17	22	0.7264999
Chlorodinine	7	4	0.726355533
AGOC-3A	16	7	0.726177322
Chlorodinine	9	19	0.726076556
Chlorodinine	25	13	0.726000728
Appluimonia	8	8	0.725724222
AGOC-3A	5	5	0.725391444
Chlorodinine	10	5	0.725322711
Appluimonia	11	8	0.7250136
Chlorodinine	19	7	0.7249616
Chlorodinine	19	18	0.724921333
AGOC-3A	2	20	0.724815111
Chlorodinine	25	16	0.724768889
AGOC-3A	20	9	0.724674333
AGOC-3A	11	19	0.724652333
Methylosmolene	9	9	0.724478111
Chlorodinine	22	9	0.724283344
AGOC-3A	2	22	0.724105556
AGOC-3A	9	8	0.724020544
AGOC-3A	5	17	0.723962667
Chlorodinine	12	21	0.723781667
Appluimonia	19	6	0.723734344
Chlorodinine	23	8	0.723732667
Methylosmolene	14	21	0.723701333
Appluimonia	4	16	0.723695327
AGOC-3A	22	16	0.723543378
Appluimonia	2	15	0.723496511
Appluimonia	10	16	0.723483556
Methylosmolene	29	8	0.723377
AGOC-3A	1	11	0.723370211
Chlorodinine	21	22	0.723199222
Appluimonia	7	6	0.722892178
Appluimonia	10	20	0.722825222
Appluimonia	21	22	0.722674556
Appluimonia	29	23	0.722432111
Chlorodinine	30	12	0.722361122
AGOC-3A	23	8	0.722245044
Chlorodinine	25	2	0.722236111
Methylosmolene	2	2	0.721834
Methylosmolene	24	11	0.7218035
Chlorodinine	24	0	0.721764582
Appluimonia	6	10	0.721706522
AGOC-3A	30	23	0.721649556
AGOC-3A	22	9	0.721461889
Chlorodinine	1	13	0.721401078
Chlorodinine	18	10	0.721108444
Methylosmolene	27	21	0.721061886
Methylosmolene	22	3	0.720940333
Appluimonia	31	7	0.720680444
Appluimonia	30	17	0.720539111
Methylosmolene	30	4	0.7201954
Methylosmolene	23	8	0.720083856
AGOC-3A	4	11	0.719951778
Chlorodinine	15	2	0.719796489
AGOC-3A	19	10	0.719644822
Appluimonia	6	21	0.719498
Appluimonia	20	11	0.719308667
AGOC-3A	15	23	0.719267367
Methylosmolene	2	9	0.718935289
Appluimonia	24	16	0.718827133
AGOC-3A	16	21	0.718786656
AGOC-3A	14	20	0.718770822
Appluimonia	4	9	0.718653444
Chlorodinine	24	10	0.718315778
Methylosmolene	19	1	0.718255
Chlorodinine	14	14	0.717650889
Appluimonia	6	4	0.717560656
Methylosmolene	23	9	0.717447367
Appluimonia	25	15	0.7172
AGOC-3A	20	23	0.717067889
AGOC-3A	8	2	0.716719333
Methylosmolene	29	23	0.716650011
Chlorodinine	19	14	0.7166246
Methylosmolene	18	23	0.716271556
AGOC-3A	22	15	0.716237556
Appluimonia	31	23	0.715954178
Appluimonia	30	7	0.715915856
Chlorodinine	31	20	0.715799222
Chlorodinine	22	12	0.715742881
Methylosmolene	27	9	0.715502778
AGOC-3A	9	9	0.715393756
AGOC-3A	4	4	0.715359544
Appluimonia	22	7	0.715178333
Methylosmolene	13	17	0.714874111
Methylosmolene	31	11	0.714686056
AGOC-3A	24	7	0.714639278
Appluimonia	20	18	0.714082156
Methylosmolene	12	16	0.713945222
Appluimonia	24	5	0.71384
Appluimonia	21	9	0.713482611
Methylosmolene	31	5	0.713283777
Chlorodinine	29	9	0.713167333
Appluimonia	27	12	0.713092667
AGOC-3A	16	3	0.713086889
Chlorodinine	17	11	0.713082778
Methylosmolene	8	15	0.712753737
Methylosmolene	31	10	0.712445344
Appluimonia	5	10	0.712185456
AGOC-3A	31	18	0.712100444
Chlorodinine	30	6	0.712044663
AGOC-3A	3	13	0.711972222
Methylosmolene	28	13	0.711743111
Methylosmolene	3	5	0.711252333
Methylosmolene	3	11	0.711250889
Methylosmolene	7	19	0.711236333
Methylosmolene	7	15	0.711156978
AGOC-3A	29	1	0.711040111
Appluimonia	11	22	0.710999167
Chlorodinine	6	16	0.710810889
AGOC-3A	24	9	0.710605111
Chlorodinine	21	20	0.710551067
Appluimonia	25	3	0.710358444
Appluimonia	15	17	0.710295478
Methylosmolene	3	2	0.710264111
Chlorodinine	28	16	0.710198111
Appluimonia	8	23	0.710197333
Appluimonia	27	7	0.710161144
AGOC-3A	6	5	0.709989167
Chlorodinine	25	21	0.709889856
Chlorodinine	26	7	0.709624778
AGOC-3A	3	23	0.709580856
Appluimonia	2	6	0.7094696
Appluimonia	23	15	0.709326333
Chlorodinine	30	16	0.709068922
AGOC-3A	11	21	0.709021778
Chlorodinine	9	18	0.708792111
Chlorodinine	18	19	0.708739589
Methylosmolene	1	1	0.708723122
Appluimonia	8	3	0.708506333
Chlorodinine	21	17	0.708448889
Appluimonia	18	23	0.708304778
AGOC-3A	2	9	0.708263111
AGOC-3A	8	7	0.708153111
Methylosmolene	28	16	0.708133444
AGOC-3A	5	15	0.708094444
Chlorodinine	23	10	0.7078651
AGOC-3A	10	10	0.707849444
Chlorodinine	21	9	0.707809368
Methylosmolene	20	23	0.707778889
Methylosmolene	22	21	0.707589633
Chlorodinine	9	13	0.707227889
Methylosmolene	27	7	0.706855456
Chlorodinine	5	11	0.706724222
Chlorodinine	23	9	0.706585889
Methylosmolene	5	18	0.706402778
AGOC-3A	13	11	0.706385333
Methylosmolene	5	14	0.706283667
Chlorodinine	23	15	0.706281222
Chlorodinine	21	16	0.706133122
Chlorodinine	1	16	0.706070711
AGOC-3A	8	12	0.705954556
Chlorodinine	26	17	0.705796111
Chlorodinine	6	15	0.705343678
Methylosmolene	7	14	0.705000887
